patch_id,seed,family,level,frac,method,true_label,prediction,confidence,correct,bounded_unknown,isolated_missing_frac,mask_overlap_centre,centre_erased_frac
17222,0,CF1,L3,0.3,bilinear,8,8,0.9764960408210754,1,False,0.006514657980456026,0.24104234527687296,0.2890625
7987,0,CF1,L3,0.3,bilinear,4,4,0.3846626579761505,1,False,0.009771986970684038,0.23452768729641693,0.28125
14403,0,CF1,L3,0.3,bilinear,1,4,0.43922632932662964,0,False,0.009771986970684038,0.2280130293159609,0.2734375
12904,0,CF1,L3,0.3,bilinear,1,1,0.777595579624176,1,False,0.016286644951140065,0.2247557003257329,0.26953125
1024,0,CF1,L3,0.3,bilinear,2,2,0.7166571021080017,1,False,0.016286644951140065,0.2703583061889251,0.32421875
15700,0,CF1,L3,0.3,bilinear,3,0,0.999997615814209,0,False,0.009771986970684038,0.2703583061889251,0.32421875
12639,0,CF1,L3,0.3,bilinear,7,7,0.8148833513259888,1,False,0.013029315960912053,0.2247557003257329,0.26953125
20658,0,CF1,L3,0.3,bilinear,4,2,0.4267122745513916,0,False,0.013029315960912053,0.25732899022801303,0.30859375
2642,0,CF1,L3,0.3,bilinear,7,7,0.7190008759498596,1,False,0.013029315960912053,0.26384364820846906,0.31640625
9392,0,CF1,L3,0.3,bilinear,9,9,0.9815422892570496,1,False,0.026058631921824105,0.22149837133550487,0.265625
23357,0,CF1,L3,0.3,bilinear,5,6,0.5580751895904541,0,False,0.016286644951140065,0.23452768729641693,0.28125
15977,0,CF1,L3,0.3,bilinear,0,0,0.7218788266181946,1,False,0.003257328990228013,0.22149837133550487,0.265625
10440,0,CF1,L3,0.3,bilinear,0,0,0.9990653395652771,1,False,0.006514657980456026,0.26384364820846906,0.31640625
14216,0,CF1,L3,0.3,bilinear,3,3,0.7853371500968933,1,False,0.013029315960912053,0.25732899022801303,0.30859375
18353,0,CF1,L3,0.3,bilinear,7,7,0.9193549156188965,1,False,0.013029315960912053,0.23778501628664495,0.28515625
17404,0,CF1,L3,0.3,bilinear,3,9,0.5436594486236572,0,False,0.026058631921824105,0.2671009771986971,0.3203125
8424,0,CF1,L3,0.3,bilinear,8,8,0.41173413395881653,1,False,0.026058631921824105,0.2247557003257329,0.26953125
4744,0,CF1,L3,0.3,bilinear,8,8,0.5257452726364136,1,False,0.009771986970684038,0.23452768729641693,0.28125
18797,0,CF1,L3,0.3,bilinear,7,7,0.9995489716529846,1,False,0.003257328990228013,0.28013029315960913,0.3359375
3156,0,CF1,L3,0.3,bilinear,7,7,0.989569365978241,1,False,0.0,0.2736156351791531,0.328125
17024,0,CF1,L3,0.3,bilinear,2,2,0.940621018409729,1,False,0.0,0.26058631921824105,0.3125
7807,0,CF1,L3,0.3,bilinear,8,8,0.9506743550300598,1,False,0.003257328990228013,0.21498371335504887,0.2578125
138,0,CF1,L3,0.3,bilinear,0,0,0.9983041286468506,1,False,0.003257328990228013,0.24104234527687296,0.2890625
20222,0,CF1,L3,0.3,bilinear,2,2,0.999970555305481,1,False,0.0,0.250814332247557,0.30078125
24734,0,CF1,L3,0.3,bilinear,9,0,0.6561020016670227,0,False,0.009771986970684038,0.28013029315960913,0.3359375
8909,0,CF1,L3,0.3,bilinear,0,0,0.8950650691986084,1,False,0.0,0.2247557003257329,0.26953125
4684,0,CF1,L3,0.3,bilinear,1,1,0.9992891550064087,1,False,0.0,0.26058631921824105,0.3125
15978,0,CF1,L3,0.3,bilinear,6,6,0.7847398519515991,1,False,0.016286644951140065,0.20521172638436483,0.24609375
21495,0,CF1,L3,0.3,bilinear,7,7,0.8607472777366638,1,False,0.013029315960912053,0.2703583061889251,0.32421875
5107,0,CF1,L3,0.3,bilinear,6,1,0.35396888852119446,0,False,0.016286644951140065,0.2671009771986971,0.3203125
1914,0,CF1,L3,0.3,bilinear,2,2,0.8192422986030579,1,False,0.006514657980456026,0.23127035830618892,0.27734375
21307,0,CF1,L3,0.3,bilinear,1,1,0.9999871253967285,1,False,0.003257328990228013,0.23778501628664495,0.28515625
7178,0,CF1,L3,0.3,bilinear,4,4,0.7201828956604004,1,False,0.006514657980456026,0.23778501628664495,0.28515625
13264,0,CF1,L3,0.3,bilinear,4,6,0.49759525060653687,0,False,0.006514657980456026,0.2768729641693811,0.33203125
21507,0,CF1,L3,0.3,bilinear,1,1,0.9973273277282715,1,False,0.02280130293159609,0.23127035830618892,0.27734375
8399,0,CF1,L3,0.3,bilinear,9,0,0.43148091435432434,0,False,0.013029315960912053,0.2768729641693811,0.33203125
4384,0,CF1,L3,0.3,bilinear,0,0,0.9993910789489746,1,False,0.009771986970684038,0.23452768729641693,0.28125
5820,0,CF1,L3,0.3,bilinear,0,1,0.7148180603981018,0,False,0.0,0.20846905537459284,0.25
22865,0,CF1,L3,0.3,bilinear,0,0,0.9679189324378967,1,False,0.013029315960912053,0.19218241042345277,0.23046875
65,0,CF1,L3,0.3,bilinear,0,0,0.6672303676605225,1,False,0.009771986970684038,0.28664495114006516,0.34375
15494,0,CF1,L3,0.3,bilinear,6,6,0.709998369216919,1,False,0.006514657980456026,0.26384364820846906,0.31640625
2327,0,CF1,L3,0.3,bilinear,5,5,0.9296947717666626,1,False,0.009771986970684038,0.23778501628664495,0.28515625
24596,0,CF1,L3,0.3,bilinear,7,6,0.7550076842308044,0,False,0.009771986970684038,0.2247557003257329,0.26953125
3825,0,CF1,L3,0.3,bilinear,5,5,0.6942195296287537,1,False,0.016286644951140065,0.26384364820846906,0.31640625
17168,0,CF1,L3,0.3,bilinear,7,7,0.9044276475906372,1,False,0.019543973941368076,0.2182410423452769,0.26171875
4357,0,CF1,L3,0.3,bilinear,3,3,0.5801661014556885,1,False,0.013029315960912053,0.23452768729641693,0.28125
2364,0,CF1,L3,0.3,bilinear,9,9,0.8482768535614014,1,False,0.006514657980456026,0.28664495114006516,0.34375
8703,0,CF1,L3,0.3,bilinear,9,9,0.9781977534294128,1,False,0.016286644951140065,0.23778501628664495,0.28515625
19390,0,CF1,L3,0.3,bilinear,9,9,0.964832603931427,1,False,0.006514657980456026,0.2671009771986971,0.3203125
17853,0,CF1,L3,0.3,bilinear,6,2,0.4688398241996765,0,False,0.006514657980456026,0.2768729641693811,0.33203125
4930,0,CF1,L3,0.3,bilinear,4,1,0.7625911831855774,0,False,0.009771986970684038,0.247557003257329,0.296875
5314,0,CF1,L3,0.3,bilinear,8,8,0.7675102949142456,1,False,0.013029315960912053,0.2280130293159609,0.2734375
4478,0,CF1,L3,0.3,bilinear,8,8,0.9099187254905701,1,False,0.009771986970684038,0.250814332247557,0.30078125
23679,0,CF1,L3,0.3,bilinear,4,1,0.8601007461547852,0,False,0.003257328990228013,0.23127035830618892,0.27734375
5449,0,CF1,L3,0.3,bilinear,1,1,0.8735500574111938,1,False,0.003257328990228013,0.28338762214983715,0.33984375
24183,0,CF1,L3,0.3,bilinear,0,0,0.9252672791481018,1,False,0.019543973941368076,0.2247557003257329,0.26953125
20842,0,CF1,L3,0.3,bilinear,3,3,0.9708999991416931,1,False,0.006514657980456026,0.2703583061889251,0.32421875
18825,0,CF1,L3,0.3,bilinear,9,0,0.7099496126174927,0,False,0.006514657980456026,0.2182410423452769,0.26171875
6265,0,CF1,L3,0.3,bilinear,1,1,0.941454291343689,1,False,0.013029315960912053,0.26058631921824105,0.3125
24932,0,CF1,L3,0.3,bilinear,4,2,0.4801122844219208,0,False,0.003257328990228013,0.26384364820846906,0.31640625
14427,0,CF1,L3,0.3,bilinear,8,9,0.4679983854293823,0,False,0.009771986970684038,0.23778501628664495,0.28515625
3740,0,CF1,L3,0.3,bilinear,7,7,0.9915077686309814,1,False,0.003257328990228013,0.25732899022801303,0.30859375
16809,0,CF1,L3,0.3,bilinear,9,2,0.3522045612335205,0,False,0.013029315960912053,0.24104234527687296,0.2890625
1136,0,CF1,L3,0.3,bilinear,1,1,0.7554770112037659,1,False,0.019543973941368076,0.2768729641693811,0.33203125
25757,0,CF1,L3,0.3,bilinear,5,5,0.9851426482200623,1,False,0.016286644951140065,0.247557003257329,0.296875
7356,0,CF1,L3,0.3,bilinear,4,4,0.6287294030189514,1,False,0.013029315960912053,0.250814332247557,0.30078125
12298,0,CF1,L3,0.3,bilinear,0,0,0.9871168732643127,1,False,0.009771986970684038,0.26058631921824105,0.3125
5700,0,CF1,L3,0.3,bilinear,3,3,0.3662235736846924,1,False,0.019543973941368076,0.23452768729641693,0.28125
22753,0,CF1,L3,0.3,bilinear,6,6,0.8303502202033997,1,False,0.006514657980456026,0.24104234527687296,0.2890625
16813,0,CF1,L3,0.3,bilinear,6,8,0.5174482464790344,0,False,0.013029315960912053,0.2182410423452769,0.26171875
7373,0,CF1,L3,0.3,bilinear,8,8,0.7710837125778198,1,False,0.013029315960912053,0.26058631921824105,0.3125
20149,0,CF1,L3,0.3,bilinear,2,2,0.7175055146217346,1,False,0.016286644951140065,0.2703583061889251,0.32421875
