patch_id,seed,family,level,frac,method,true_label,prediction,confidence,correct,bounded_unknown,isolated_missing_frac,mask_overlap_centre,centre_erased_frac
17222,0,CF3,L1,0.05,lama,8,8,0.9883230328559875,1,False,0.5,0.0,0.0
7987,0,CF3,L1,0.05,lama,4,4,0.33970218896865845,1,False,0.5,0.0,0.0
14403,0,CF3,L1,0.05,lama,1,1,0.5074580311775208,1,False,0.5,0.0,0.0
12904,0,CF3,L1,0.05,lama,1,1,0.7242728471755981,1,False,0.5,0.0,0.0
1024,0,CF3,L1,0.05,lama,2,2,0.7672258019447327,1,False,0.5,0.0,0.0
15700,0,CF3,L1,0.05,lama,3,0,0.9999983310699463,0,False,0.5,0.0,0.0
12639,0,CF3,L1,0.05,lama,7,7,0.8455951809883118,1,False,0.5,0.0,0.0
20658,0,CF3,L1,0.05,lama,4,2,0.421006977558136,0,False,0.5,0.0,0.0
2642,0,CF3,L1,0.05,lama,7,7,0.7721465229988098,1,False,0.5,0.0,0.0
9392,0,CF3,L1,0.05,lama,9,9,0.9781454801559448,1,False,0.5,0.0,0.0
23357,0,CF3,L1,0.05,lama,5,5,0.5274790525436401,1,False,0.5,0.0,0.0
15977,0,CF3,L1,0.05,lama,0,0,0.7800018787384033,1,False,0.5,0.0,0.0
10440,0,CF3,L1,0.05,lama,0,0,0.9990752935409546,1,False,0.5,0.0,0.0
14216,0,CF3,L1,0.05,lama,3,3,0.7917016744613647,1,False,0.5,0.0,0.0
18353,0,CF3,L1,0.05,lama,7,7,0.9073276519775391,1,False,0.5,0.0,0.0
17404,0,CF3,L1,0.05,lama,3,9,0.5364844799041748,0,False,0.5,0.0,0.0
8424,0,CF3,L1,0.05,lama,8,8,0.5383487343788147,1,False,0.5,0.0,0.0
4744,0,CF3,L1,0.05,lama,8,8,0.5490833520889282,1,False,0.5,0.0,0.0
18797,0,CF3,L1,0.05,lama,7,7,0.9981597065925598,1,False,0.5,0.0,0.0
3156,0,CF3,L1,0.05,lama,7,7,0.992095410823822,1,False,0.5,0.0,0.0
17024,0,CF3,L1,0.05,lama,2,2,0.94981449842453,1,False,0.5,0.0,0.0
7807,0,CF3,L1,0.05,lama,8,8,0.9701378345489502,1,False,0.5,0.0,0.0
138,0,CF3,L1,0.05,lama,0,0,0.9985063672065735,1,False,0.5,0.0,0.0
20222,0,CF3,L1,0.05,lama,2,2,0.9999845027923584,1,False,0.5,0.0,0.0
24734,0,CF3,L1,0.05,lama,9,0,0.6369412541389465,0,False,0.5,0.0,0.0
8909,0,CF3,L1,0.05,lama,0,0,0.9336022734642029,1,False,0.5,0.0,0.0
4684,0,CF3,L1,0.05,lama,1,1,0.999350368976593,1,False,0.5,0.0,0.0
15978,0,CF3,L1,0.05,lama,6,6,0.8217137455940247,1,False,0.5,0.0,0.0
21495,0,CF3,L1,0.05,lama,7,7,0.7794451117515564,1,False,0.5,0.0,0.0
5107,0,CF3,L1,0.05,lama,6,1,0.3892190158367157,0,False,0.5,0.0,0.0
1914,0,CF3,L1,0.05,lama,2,2,0.845206618309021,1,False,0.5,0.0,0.0
21307,0,CF3,L1,0.05,lama,1,1,0.9999934434890747,1,False,0.5,0.0,0.0
7178,0,CF3,L1,0.05,lama,4,4,0.6084267497062683,1,False,0.5,0.0,0.0
13264,0,CF3,L1,0.05,lama,4,6,0.4883899986743927,0,False,0.5,0.0,0.0
21507,0,CF3,L1,0.05,lama,1,1,0.9971538782119751,1,False,0.5,0.0,0.0
8399,0,CF3,L1,0.05,lama,9,2,0.5609745383262634,0,False,0.5,0.0,0.0
4384,0,CF3,L1,0.05,lama,0,0,0.9994401335716248,1,False,0.5,0.0,0.0
5820,0,CF3,L1,0.05,lama,0,1,0.7397888898849487,0,False,0.5,0.0,0.0
22865,0,CF3,L1,0.05,lama,0,0,0.9752978682518005,1,False,0.5,0.0,0.0
65,0,CF3,L1,0.05,lama,0,0,0.7180660963058472,1,False,0.5,0.0,0.0
15494,0,CF3,L1,0.05,lama,6,6,0.6770151257514954,1,False,0.5,0.0,0.0
2327,0,CF3,L1,0.05,lama,5,5,0.8917951583862305,1,False,0.5,0.0,0.0
24596,0,CF3,L1,0.05,lama,7,6,0.7767922878265381,0,False,0.5,0.0,0.0
3825,0,CF3,L1,0.05,lama,5,5,0.6544457077980042,1,False,0.5,0.0,0.0
17168,0,CF3,L1,0.05,lama,7,7,0.9446136951446533,1,False,0.5,0.0,0.0
4357,0,CF3,L1,0.05,lama,3,3,0.6772933006286621,1,False,0.5,0.0,0.0
2364,0,CF3,L1,0.05,lama,9,9,0.8814665675163269,1,False,0.5,0.0,0.0
