patch_id,seed,family,level,frac,method,true_label,prediction,confidence,correct,bounded_unknown,isolated_missing_frac,mask_overlap_centre,centre_erased_frac
17222,0,CF4,L4,0.5,csfr,8,2,0.68024742603302,0,True,0.9375,0.25,0.5
7987,0,CF4,L4,0.5,csfr,4,3,0.4381793439388275,0,True,0.9375,0.25,0.5
14403,0,CF4,L4,0.5,csfr,1,1,0.26806774735450745,1,True,0.9375,0.25,0.5
12904,0,CF4,L4,0.5,csfr,1,2,0.4006904363632202,0,True,0.9375,0.25,0.5
1024,0,CF4,L4,0.5,csfr,2,6,0.36675310134887695,0,True,0.9375,0.25,0.5
15700,0,CF4,L4,0.5,csfr,3,9,0.39338845014572144,0,True,0.9375,0.25,0.5
12639,0,CF4,L4,0.5,csfr,7,2,0.4076876938343048,0,True,0.9375,0.25,0.5
20658,0,CF4,L4,0.5,csfr,4,2,0.3528100252151489,0,True,0.9375,0.25,0.5
2642,0,CF4,L4,0.5,csfr,7,2,0.2970200181007385,0,True,0.9375,0.25,0.5
9392,0,CF4,L4,0.5,csfr,9,9,0.470125287771225,1,True,0.9375,0.25,0.5
23357,0,CF4,L4,0.5,csfr,5,5,0.9659706354141235,1,True,0.9375,0.25,0.5
15977,0,CF4,L4,0.5,csfr,0,2,0.7499753832817078,0,True,0.9375,0.25,0.5
10440,0,CF4,L4,0.5,csfr,0,9,0.3591402471065521,0,True,0.9375,0.25,0.5
14216,0,CF4,L4,0.5,csfr,3,4,0.37171971797943115,0,True,0.9375,0.25,0.5
18353,0,CF4,L4,0.5,csfr,7,3,0.5426784157752991,0,True,0.9375,0.25,0.5
17404,0,CF4,L4,0.5,csfr,3,2,0.5217750072479248,0,True,0.9375,0.25,0.5
8424,0,CF4,L4,0.5,csfr,8,2,0.7034710645675659,0,True,0.9375,0.25,0.5
4744,0,CF4,L4,0.5,csfr,8,6,0.8367969989776611,0,True,0.9375,0.25,0.5
18797,0,CF4,L4,0.5,csfr,7,7,0.8012689352035522,1,True,0.9375,0.25,0.5
3156,0,CF4,L4,0.5,csfr,7,5,0.31096771359443665,0,True,0.9375,0.25,0.5
17024,0,CF4,L4,0.5,csfr,2,2,0.3545262813568115,1,True,0.9375,0.25,0.5
7807,0,CF4,L4,0.5,csfr,8,2,0.4492131769657135,0,True,0.9375,0.25,0.5
138,0,CF4,L4,0.5,csfr,0,0,0.6126840114593506,1,True,0.9375,0.25,0.5
20222,0,CF4,L4,0.5,csfr,2,2,0.8139533400535583,1,True,0.9375,0.25,0.5
24734,0,CF4,L4,0.5,csfr,9,6,0.2366882711648941,0,True,0.9375,0.25,0.5
8909,0,CF4,L4,0.5,csfr,0,2,0.5098741054534912,0,True,0.9375,0.25,0.5
4684,0,CF4,L4,0.5,csfr,1,1,0.6503354907035828,1,True,0.9375,0.25,0.5
15978,0,CF4,L4,0.5,csfr,6,2,0.24102683365345,0,True,0.9375,0.25,0.5
21495,0,CF4,L4,0.5,csfr,7,2,0.7885825634002686,0,True,0.9375,0.25,0.5
5107,0,CF4,L4,0.5,csfr,6,3,0.5135462880134583,0,True,0.9375,0.25,0.5
1914,0,CF4,L4,0.5,csfr,2,2,0.37598496675491333,1,True,0.9375,0.25,0.5
21307,0,CF4,L4,0.5,csfr,1,4,0.45522722601890564,0,True,0.9375,0.25,0.5
7178,0,CF4,L4,0.5,csfr,4,4,0.6583282351493835,1,True,0.9375,0.25,0.5
13264,0,CF4,L4,0.5,csfr,4,6,0.7906369566917419,0,True,0.9375,0.25,0.5
21507,0,CF4,L4,0.5,csfr,1,1,0.534187376499176,1,True,0.9375,0.25,0.5
8399,0,CF4,L4,0.5,csfr,9,2,0.7524927258491516,0,True,0.9375,0.25,0.5
4384,0,CF4,L4,0.5,csfr,0,9,0.5495313405990601,0,True,0.9375,0.25,0.5
5820,0,CF4,L4,0.5,csfr,0,4,0.6295179724693298,0,True,0.9375,0.25,0.5
22865,0,CF4,L4,0.5,csfr,0,2,0.6602283716201782,0,True,0.9375,0.25,0.5
65,0,CF4,L4,0.5,csfr,0,2,0.6758273839950562,0,True,0.9375,0.25,0.5
15494,0,CF4,L4,0.5,csfr,6,4,0.3580085039138794,0,True,0.9375,0.25,0.5
2327,0,CF4,L4,0.5,csfr,5,6,0.7658820152282715,0,True,0.9375,0.25,0.5
24596,0,CF4,L4,0.5,csfr,7,6,0.657291829586029,0,True,0.9375,0.25,0.5
3825,0,CF4,L4,0.5,csfr,5,5,0.5911920070648193,1,True,0.9375,0.25,0.5
17168,0,CF4,L4,0.5,csfr,7,5,0.3087802529335022,0,True,0.9375,0.25,0.5
4357,0,CF4,L4,0.5,csfr,3,2,0.645078718662262,0,True,0.9375,0.25,0.5
2364,0,CF4,L4,0.5,csfr,9,2,0.6389903426170349,0,True,0.9375,0.25,0.5
8703,0,CF4,L4,0.5,csfr,9,9,0.7805863618850708,1,True,0.9375,0.25,0.5
19390,0,CF4,L4,0.5,csfr,9,9,0.6953895092010498,1,True,0.9375,0.25,0.5
17853,0,CF4,L4,0.5,csfr,6,2,0.4310620427131653,0,True,0.9375,0.25,0.5
4930,0,CF4,L4,0.5,csfr,4,4,0.45001503825187683,1,True,0.9375,0.25,0.5
5314,0,CF4,L4,0.5,csfr,8,5,0.5330386161804199,0,True,0.9375,0.25,0.5
4478,0,CF4,L4,0.5,csfr,8,9,0.45399099588394165,0,True,0.9375,0.25,0.5
23679,0,CF4,L4,0.5,csfr,4,9,0.5470414161682129,0,True,0.9375,0.25,0.5
5449,0,CF4,L4,0.5,csfr,1,9,0.3678489029407501,0,True,0.9375,0.25,0.5
24183,0,CF4,L4,0.5,csfr,0,6,0.7078798413276672,0,True,0.9375,0.25,0.5
20842,0,CF4,L4,0.5,csfr,3,3,0.751121461391449,1,True,0.9375,0.25,0.5
18825,0,CF4,L4,0.5,csfr,9,2,0.5586686134338379,0,True,0.9375,0.25,0.5
6265,0,CF4,L4,0.5,csfr,1,2,0.3368631899356842,0,True,0.9375,0.25,0.5
24932,0,CF4,L4,0.5,csfr,4,5,0.38337981700897217,0,True,0.9375,0.25,0.5
14427,0,CF4,L4,0.5,csfr,8,2,0.33436131477355957,0,True,0.9375,0.25,0.5
3740,0,CF4,L4,0.5,csfr,7,1,0.456613153219223,0,True,0.9375,0.25,0.5
16809,0,CF4,L4,0.5,csfr,9,2,0.8204572200775146,0,True,0.9375,0.25,0.5
1136,0,CF4,L4,0.5,csfr,1,4,0.5961762070655823,0,True,0.9375,0.25,0.5
25757,0,CF4,L4,0.5,csfr,5,5,0.9109160900115967,1,True,0.9375,0.25,0.5
7356,0,CF4,L4,0.5,csfr,4,5,0.26791301369667053,0,True,0.9375,0.25,0.5
12298,0,CF4,L4,0.5,csfr,0,2,0.4447672367095947,0,True,0.9375,0.25,0.5
5700,0,CF4,L4,0.5,csfr,3,5,0.7838638424873352,0,True,0.9375,0.25,0.5
22753,0,CF4,L4,0.5,csfr,6,6,0.38369619846343994,1,True,0.9375,0.25,0.5
16813,0,CF4,L4,0.5,csfr,6,9,0.8358380198478699,0,True,0.9375,0.25,0.5
7373,0,CF4,L4,0.5,csfr,8,2,0.6265969276428223,0,True,0.9375,0.25,0.5
20149,0,CF4,L4,0.5,csfr,2,2,0.5127384662628174,1,True,0.9375,0.25,0.5
15874,0,CF4,L4,0.5,csfr,9,9,0.932254433631897,1,True,0.9375,0.25,0.5
26011,0,CF4,L4,0.5,csfr,0,6,0.2996614873409271,0,True,0.9375,0.25,0.5
4196,0,CF4,L4,0.5,csfr,9,6,0.42136502265930176,0,True,0.9375,0.25,0.5
11227,0,CF4,L4,0.5,csfr,3,2,0.5459222793579102,0,True,0.9375,0.25,0.5
15736,0,CF4,L4,0.5,csfr,3,3,0.6314498782157898,1,True,0.9375,0.25,0.5
6339,0,CF4,L4,0.5,csfr,6,9,0.7506000399589539,0,True,0.9375,0.25,0.5
25704,0,CF4,L4,0.5,csfr,2,2,0.34504029154777527,1,True,0.9375,0.25,0.5
3190,0,CF4,L4,0.5,csfr,7,2,0.882327675819397,0,True,0.9375,0.25,0.5
737,0,CF4,L4,0.5,csfr,4,5,0.3033492863178253,0,True,0.9375,0.25,0.5
22875,0,CF4,L4,0.5,csfr,9,2,0.772828996181488,0,True,0.9375,0.25,0.5
22749,0,CF4,L4,0.5,csfr,3,5,0.27571773529052734,0,True,0.9375,0.25,0.5
22998,0,CF4,L4,0.5,csfr,3,2,0.9459874629974365,0,True,0.9375,0.25,0.5
24210,0,CF4,L4,0.5,csfr,5,5,0.9091231822967529,1,True,0.9375,0.25,0.5
6800,0,CF4,L4,0.5,csfr,4,1,0.7619296908378601,0,True,0.9375,0.25,0.5
16602,0,CF4,L4,0.5,csfr,9,2,0.27914610505104065,0,True,0.9375,0.25,0.5
10822,0,CF4,L4,0.5,csfr,6,6,0.37132784724235535,1,True,0.9375,0.25,0.5
12822,0,CF4,L4,0.5,csfr,1,4,0.9636419415473938,0,True,0.9375,0.25,0.5
12758,0,CF4,L4,0.5,csfr,5,5,0.8076551556587219,1,True,0.9375,0.25,0.5
21144,0,CF4,L4,0.5,csfr,4,4,0.3583654463291168,1,True,0.9375,0.25,0.5
4900,0,CF4,L4,0.5,csfr,6,7,0.23249083757400513,0,True,0.9375,0.25,0.5
22888,0,CF4,L4,0.5,csfr,9,2,0.7769044637680054,0,True,0.9375,0.25,0.5
19935,0,CF4,L4,0.5,csfr,9,9,0.408146470785141,1,True,0.9375,0.25,0.5
21896,0,CF4,L4,0.5,csfr,7,3,0.31554844975471497,0,True,0.9375,0.25,0.5
3475,0,CF4,L4,0.5,csfr,3,3,0.8801888227462769,1,True,0.9375,0.25,0.5
16171,0,CF4,L4,0.5,csfr,0,0,0.9968097805976868,1,True,0.9375,0.25,0.5
4672,0,CF4,L4,0.5,csfr,4,3,0.37333807349205017,0,True,0.9375,0.25,0.5
10146,0,CF4,L4,0.5,csfr,2,2,0.9733383059501648,1,True,0.9375,0.25,0.5
9207,0,CF4,L4,0.5,csfr,7,2,0.3768989145755768,0,True,0.9375,0.25,0.5
17745,0,CF4,L4,0.5,csfr,9,2,0.9978011250495911,0,True,0.9375,0.25,0.5
432,0,CF4,L4,0.5,csfr,7,3,0.265350878238678,0,True,0.9375,0.25,0.5
6608,0,CF4,L4,0.5,csfr,4,4,0.5671849250793457,1,True,0.9375,0.25,0.5
25769,0,CF4,L4,0.5,csfr,9,9,0.9454777836799622,1,True,0.9375,0.25,0.5
14774,0,CF4,L4,0.5,csfr,3,2,0.9350568056106567,0,True,0.9375,0.25,0.5
21627,0,CF4,L4,0.5,csfr,4,1,0.35680365562438965,0,True,0.9375,0.25,0.5
8133,0,CF4,L4,0.5,csfr,2,2,0.9338652491569519,1,True,0.9375,0.25,0.5
12554,0,CF4,L4,0.5,csfr,4,4,0.9782152771949768,1,True,0.9375,0.25,0.5
10856,0,CF4,L4,0.5,csfr,1,1,0.29982948303222656,1,True,0.9375,0.25,0.5
15931,0,CF4,L4,0.5,csfr,3,3,0.3853824734687805,1,True,0.9375,0.25,0.5
2367,0,CF4,L4,0.5,csfr,2,2,0.46363794803619385,1,True,0.9375,0.25,0.5
25563,0,CF4,L4,0.5,csfr,7,7,0.6348393559455872,1,True,0.9375,0.25,0.5
6748,0,CF4,L4,0.5,csfr,2,2,0.2942500114440918,1,True,0.9375,0.25,0.5
5368,0,CF4,L4,0.5,csfr,8,2,0.768278181552887,0,True,0.9375,0.25,0.5
25951,0,CF4,L4,0.5,csfr,6,5,0.5504252314567566,0,True,0.9375,0.25,0.5
22082,0,CF4,L4,0.5,csfr,7,7,0.8479093313217163,1,True,0.9375,0.25,0.5
19301,0,CF4,L4,0.5,csfr,4,4,0.6520607471466064,1,True,0.9375,0.25,0.5
13302,0,CF4,L4,0.5,csfr,4,4,0.8339307904243469,1,True,0.9375,0.25,0.5
15358,0,CF4,L4,0.5,csfr,0,2,0.3847283720970154,0,True,0.9375,0.25,0.5
23572,0,CF4,L4,0.5,csfr,2,2,0.5643954873085022,1,True,0.9375,0.25,0.5
14736,0,CF4,L4,0.5,csfr,4,4,0.6670762896537781,1,True,0.9375,0.25,0.5
