patch_id,true_label,prediction,confidence,correct
17222,8,8,0.9876255393028259,1
7987,4,4,0.3820127546787262,1
14403,1,1,0.5155961513519287,1
12904,1,1,0.7743022441864014,1
1024,2,2,0.7671308517456055,1
15700,3,0,0.9999986886978149,0
12639,7,7,0.8140097856521606,1
20658,4,2,0.3932986259460449,0
2642,7,7,0.7387819290161133,1
9392,9,9,0.9784642457962036,1
23357,5,5,0.5313583016395569,1
15977,0,0,0.7592491507530212,1
10440,0,0,0.9992409944534302,1
14216,3,3,0.8338750600814819,1
18353,7,7,0.937050998210907,1
17404,3,9,0.5193124413490295,0
8424,8,8,0.4930609166622162,1
4744,8,8,0.5617331862449646,1
18797,7,7,0.9996044039726257,1
3156,7,7,0.9910679459571838,1
17024,2,2,0.9463544487953186,1
7807,8,8,0.9626466631889343,1
138,0,0,0.9985016584396362,1
20222,2,2,0.9999850988388062,1
24734,9,0,0.6591763496398926,0
8909,0,0,0.9301065802574158,1
4684,1,1,0.9993523955345154,1
15978,6,6,0.79891437292099,1
21495,7,7,0.8601305484771729,1
5107,6,1,0.37262028455734253,0
1914,2,2,0.8763921856880188,1
21307,1,1,0.9999926090240479,1
7178,4,4,0.7391139268875122,1
13264,4,6,0.4837999939918518,0
21507,1,1,0.997870683670044,1
8399,9,2,0.6153598427772522,0
4384,0,0,0.9994827508926392,1
5820,0,1,0.7648020386695862,0
22865,0,0,0.975706934928894,1
65,0,0,0.6999176740646362,1
15494,6,6,0.717950701713562,1
2327,5,5,0.9488083124160767,1
24596,7,6,0.7570434808731079,0
3825,5,5,0.6735329627990723,1
17168,7,7,0.9334782361984253,1
4357,3,3,0.5488898158073425,1
2364,9,9,0.8727533221244812,1
8703,9,9,0.9854447245597839,1
19390,9,9,0.9826059341430664,1
17853,6,2,0.36038628220558167,0
4930,4,1,0.7640096545219421,0
5314,8,8,0.7708578109741211,1
4478,8,8,0.9141977429389954,1
23679,4,1,0.8134462833404541,0
5449,1,1,0.9020047187805176,1
24183,0,0,0.9260061979293823,1
20842,3,3,0.9753409624099731,1
18825,9,0,0.6639359593391418,0
6265,1,1,0.9071165919303894,1
24932,4,2,0.43250319361686707,0
14427,8,9,0.493257075548172,0
3740,7,7,0.9920925498008728,1
16809,9,2,0.4831908643245697,0
1136,1,1,0.7950604557991028,1
25757,5,5,0.9829970598220825,1
7356,4,4,0.6053727865219116,1
12298,0,0,0.9890120029449463,1
5700,3,3,0.37203893065452576,1
22753,6,6,0.8423012495040894,1
16813,6,6,0.5391468405723572,1
7373,8,8,0.8037399649620056,1
20149,2,2,0.7591545581817627,1
15874,9,9,0.9891501069068909,1
26011,0,0,0.9049282670021057,1
4196,9,9,0.5876721739768982,1
11227,3,3,0.7618898749351501,1
15736,3,3,0.9906883239746094,1
6339,6,6,0.7742800116539001,1
25704,2,2,0.9788939356803894,1
3190,7,7,0.8981755971908569,1
737,4,4,0.7852899432182312,1
22875,9,9,0.9601803421974182,1
22749,3,3,0.8398603796958923,1
22998,3,3,0.962465763092041,1
24210,5,5,0.9439120888710022,1
6800,4,4,0.915861964225769,1
16602,9,9,0.4750670790672302,1
10822,6,6,0.7443909645080566,1
12822,1,1,0.9999836683273315,1
12758,5,5,0.9616631865501404,1
21144,4,4,0.9698120951652527,1
4900,6,6,0.4086335301399231,1
22888,9,9,0.9990938901901245,1
19935,9,9,0.5979418158531189,1
21896,7,7,0.9855851531028748,1
3475,3,3,0.8863848447799683,1
16171,0,0,0.9999443292617798,1
4672,4,7,0.9068973064422607,0
10146,2,2,0.9999481439590454,1
9207,7,7,0.8098300099372864,1
17745,9,2,0.9997989535331726,0
432,7,7,0.9144126772880554,1
6608,4,4,0.9923256635665894,1
25769,9,9,0.9985849857330322,1
14774,3,3,0.849000871181488,1
21627,4,4,0.8087117671966553,1
8133,2,2,0.9999454021453857,1
12554,4,4,0.9995251893997192,1
10856,1,1,0.9692608714103699,1
15931,3,3,0.9941217303276062,1
2367,2,2,0.6105855107307434,1
25563,7,7,0.7967458367347717,1
6748,2,2,0.9901148080825806,1
5368,8,8,0.9914219975471497,1
25951,6,6,0.9852918386459351,1
22082,7,7,0.9996141195297241,1
19301,4,4,0.9955902099609375,1
13302,4,4,0.9900151491165161,1
15358,0,0,0.8150907754898071,1
23572,2,2,0.9259786009788513,1
14736,4,4,0.9960883855819702,1
16685,2,2,0.9542669057846069,1
21902,7,7,0.6287052631378174,1
6713,5,6,0.5062787532806396,0
8771,4,4,0.9864580035209656,1
20264,3,5,0.6113690137863159,0
24489,1,1,0.9999971389770508,1
24852,1,4,0.8023180365562439,0
6746,1,1,0.8368954062461853,1
5951,5,5,0.7133839130401611,1
6438,4,4,0.9995001554489136,1
11126,9,6,0.7169678807258606,0
24241,3,3,0.9338211417198181,1
23621,6,6,0.8254292607307434,1
14358,6,6,0.59989333152771,1
19003,6,6,0.562979519367218,1
3760,9,9,0.5356195569038391,1
1155,5,5,0.9973775148391724,1
22044,8,7,0.26265597343444824,0
17521,4,4,0.9032138586044312,1
15177,9,9,0.6791645288467407,1
21080,0,0,0.9989343285560608,1
4507,5,5,0.7971886992454529,1
10600,7,7,0.9918308854103088,1
11754,1,1,0.9997356534004211,1
22934,4,4,0.9671062231063843,1
19094,3,3,0.9987809062004089,1
25246,7,7,0.9137285351753235,1
14745,2,2,0.9999942779541016,1
3177,8,9,0.5636274218559265,0
13870,5,1,0.35763314366340637,0
5605,6,6,0.9460509419441223,1
5202,8,8,0.9953437447547913,1
8800,5,5,0.9955735206604004,1
645,3,3,0.995205283164978,1
16077,5,5,0.9906386137008667,1
15336,5,5,0.7987116575241089,1
20933,0,0,0.9251403212547302,1
10580,8,8,0.8904821276664734,1
25902,6,6,0.9528754949569702,1
4666,8,8,0.9999908208847046,1
14541,4,4,0.9867969751358032,1
7374,5,5,0.8276991844177246,1
4697,5,0,0.39887022972106934,0
6317,5,5,0.7302765250205994,1
16623,6,6,0.800311803817749,1
16511,6,9,0.4194541275501251,0
16162,3,9,0.5089921951293945,0
5989,1,1,0.9029147624969482,1
18753,5,5,0.9982277750968933,1
20853,4,4,0.7046655416488647,1
16556,0,0,0.9744235873222351,1
7019,9,9,0.9355165958404541,1
3090,6,6,0.9959951639175415,1
14680,3,3,0.9813438653945923,1
869,3,3,0.4897940754890442,1
7595,6,6,0.9020170569419861,1
14417,1,1,0.9642949104309082,1
13624,9,9,0.9868171811103821,1
21083,0,0,0.9988347887992859,1
7556,1,1,0.9966710209846497,1
9289,8,8,0.851162314414978,1
19944,3,3,0.9149965643882751,1
6057,1,1,0.9961839318275452,1
23029,8,0,0.5911746621131897,0
23668,5,5,0.9518734216690063,1
13115,8,8,0.9795753359794617,1
20635,3,3,0.4829248785972595,1
4281,4,4,0.9970294237136841,1
4139,9,2,0.4971296787261963,0
10652,1,1,0.8883607983589172,1
700,1,1,0.9983466863632202,1
5772,3,3,0.3875454068183899,1
8114,9,9,0.8248490691184998,1
5964,6,6,0.6725310683250427,1
17278,7,7,0.7483607530593872,1
9961,0,0,0.5874541997909546,1
25974,7,7,0.9999576807022095,1
14317,3,3,0.9510866403579712,1
6485,0,0,0.9999890327453613,1
18287,0,0,0.9911485910415649,1
11840,4,4,0.932607114315033,1
864,0,0,0.9983260035514832,1
20612,1,1,0.7543981075286865,1
21079,1,1,0.9999293088912964,1
11286,5,5,0.9922858476638794,1
788,0,0,0.9865750670433044,1
15932,3,3,0.8801295757293701,1
18511,3,3,0.9978784322738647,1
21576,5,1,0.38615766167640686,0
17237,2,2,0.9992961883544922,1
2966,2,2,0.9999994039535522,1
16416,5,5,0.9972598552703857,1
1280,5,5,0.8931750655174255,1
24928,0,0,0.9408737421035767,1
23837,1,1,0.8865947127342224,1
20230,1,1,0.9986667633056641,1
23434,5,5,0.9949901700019836,1
20522,6,2,0.39085811376571655,0
7789,3,7,0.3043127655982971,0
22086,6,6,0.991541862487793,1
21339,0,0,0.9998236298561096,1
6830,9,9,0.9999973773956299,1
20902,2,2,0.993120551109314,1
17481,5,5,0.9903984069824219,1
3050,6,6,0.6107998490333557,1
409,1,4,0.6110694408416748,0
14823,7,7,0.9417218565940857,1
22892,9,1,0.3516276180744171,0
9470,8,8,0.5773556232452393,1
9543,6,8,0.4321165978908539,0
22090,5,5,0.9939427971839905,1
6045,6,6,0.991640567779541,1
317,8,8,0.9778884649276733,1
15812,0,0,0.9969490170478821,1
18170,9,9,0.9791983366012573,1
14781,0,0,0.9133290648460388,1
17886,9,9,0.9872872829437256,1
20049,3,0,0.9162170886993408,0
13283,0,0,0.9654252529144287,1
25830,5,5,0.9994183778762817,1
14277,9,9,0.9649532437324524,1
5908,1,1,0.9999744892120361,1
9731,8,8,0.8836206197738647,1
14180,9,9,0.9967279434204102,1
9246,2,2,0.9987572431564331,1
1656,2,2,0.3947537839412689,1
17712,1,1,0.8388549089431763,1
25544,9,9,0.6977245807647705,1
1120,5,5,0.9986280202865601,1
1298,6,6,0.850304901599884,1
25570,2,2,0.9982612729072571,1
5370,7,7,0.8202796578407288,1
19075,2,2,0.9909234642982483,1
8583,0,0,0.25234946608543396,1
2133,0,2,0.29300710558891296,0
1982,2,2,0.8177027702331543,1
950,8,8,0.47352343797683716,1
19563,4,4,0.9881970286369324,1
21023,6,6,0.9895546436309814,1
15687,0,0,0.8026925921440125,1
6444,6,6,0.9739075899124146,1
15735,4,4,0.9990494847297668,1
10651,0,0,0.8553879261016846,1
13256,1,1,0.9998646974563599,1
16855,6,5,0.3017311096191406,0
14884,9,9,0.9844227433204651,1
21884,6,6,0.8456795811653137,1
5078,3,3,0.7750617265701294,1
20419,9,9,0.5104877948760986,1
20521,5,5,0.9638482928276062,1
23257,5,5,0.854497492313385,1
17190,2,2,0.9860868453979492,1
15631,8,8,0.9895602464675903,1
504,0,0,0.9824124574661255,1
14990,3,3,0.9996895790100098,1
24512,8,8,0.9078494310379028,1
23120,7,7,0.8027327060699463,1
3357,2,2,0.9972063899040222,1
8088,1,1,0.9486067295074463,1
21849,9,9,0.7178224921226501,1
13683,0,0,0.996239423751831,1
22718,9,3,0.7016189694404602,0
9927,4,4,0.9169467091560364,1
11425,0,0,0.9995774626731873,1
14578,0,0,0.8825226426124573,1
25481,8,8,0.6360434889793396,1
11269,5,5,0.9979941844940186,1
12877,5,5,0.950412392616272,1
22531,9,9,0.32858097553253174,1
13150,3,1,0.4138033390045166,0
5654,8,8,0.8069116473197937,1
1286,7,7,0.9951519966125488,1
1652,1,1,0.9999604225158691,1
22335,2,2,0.9645060300827026,1
23848,3,3,0.9357885718345642,1
2892,6,6,0.9913785457611084,1
16530,8,8,0.8909851312637329,1
12848,8,8,0.9889698028564453,1
7330,7,7,0.9715638756752014,1
3676,1,1,0.9356843829154968,1
19966,8,8,0.8668537735939026,1
8382,5,6,0.8448611497879028,0
19660,7,7,0.4301672875881195,1
2508,9,9,0.8353756070137024,1
2360,4,4,0.7852320671081543,1
16796,1,1,0.9997455477714539,1
23426,9,9,0.3287085294723511,1
15590,2,9,0.7875293493270874,0
6302,3,3,0.6844892501831055,1
24519,7,7,0.795409619808197,1
23276,2,2,0.7216730117797852,1
24566,8,8,0.9789340496063232,1
20978,1,4,0.7322052121162415,0
8990,3,3,0.8954062461853027,1
11061,7,7,0.7942808270454407,1
7075,9,5,0.787192165851593,0
17641,2,2,0.9999336004257202,1
12077,9,9,0.9995915293693542,1
1779,7,7,0.9981928467750549,1
11519,4,4,0.8366233110427856,1
8549,3,3,0.8593425154685974,1
14623,6,6,0.5125199556350708,1
10846,3,3,0.9985319375991821,1
16289,3,3,0.9274840354919434,1
12311,8,8,0.8960205316543579,1
6068,8,8,0.9064818024635315,1
9629,6,6,0.8609312176704407,1
19560,3,9,0.5906969308853149,0
10379,8,8,0.9777137637138367,1
6499,9,6,0.8599568605422974,0
1159,0,0,0.9984136819839478,1
4366,7,7,0.9990891218185425,1
8397,1,0,0.7844362258911133,0
20905,9,9,0.4401932954788208,1
15746,5,5,0.9442801475524902,1
9402,3,8,0.9695867896080017,0
8164,2,0,0.598573625087738,0
510,5,5,0.8218980431556702,1
24070,9,1,0.7231168150901794,0
2401,4,4,0.9893060326576233,1
12147,3,3,0.6021615266799927,1
14499,6,6,0.7004116177558899,1
3530,6,6,0.9959747195243835,1
14723,7,2,0.48748981952667236,0
4435,3,3,0.9494609236717224,1
22852,2,2,0.7743650674819946,1
8461,3,3,0.9993197917938232,1
21972,7,7,0.999710738658905,1
5410,4,4,0.925826370716095,1
17754,6,6,0.9811274409294128,1
15311,2,2,0.9998303651809692,1
15185,1,1,0.974316418170929,1
5663,4,4,0.7495676279067993,1
6247,6,6,0.9967164397239685,1
15287,0,4,0.613973081111908,0
19902,0,0,0.9955312609672546,1
25188,4,4,0.6239197850227356,1
11195,8,8,0.6073664426803589,1
4828,7,1,0.529181957244873,0
23751,5,5,0.9486773014068604,1
9464,3,1,0.5489189624786377,0
25723,0,0,0.9907989501953125,1
16859,5,5,0.9865087866783142,1
3601,1,1,0.9997565150260925,1
11679,6,6,0.9836742877960205,1
12135,7,1,0.5537713170051575,0
16329,1,1,0.761547863483429,1
94,4,4,0.4915512502193451,1
14517,9,5,0.45275208353996277,0
16852,3,3,0.994485080242157,1
6852,6,6,0.56424480676651,1
24858,3,3,0.9855751991271973,1
297,9,9,0.8923147320747375,1
12339,2,2,0.9996864795684814,1
20811,8,8,0.9471630454063416,1
12439,5,5,0.8806349635124207,1
16632,9,0,0.9481300115585327,0
5798,4,9,0.41775450110435486,0
18458,3,3,0.9807351231575012,1
6105,5,5,0.9289650321006775,1
10321,6,6,0.9263936281204224,1
21771,7,7,0.9933388829231262,1
22194,0,0,0.9887173175811768,1
6,9,9,0.7194887399673462,1
912,7,7,0.9873983860015869,1
16910,5,5,0.9110358953475952,1
18738,7,7,0.9986151456832886,1
18020,9,9,0.9316241145133972,1
3462,8,8,0.3695351183414459,1
5696,1,0,0.31992530822753906,0
15066,3,3,0.9809153079986572,1
10653,9,9,0.8489125967025757,1
13337,2,2,0.9999971389770508,1
12340,5,5,0.9956847429275513,1
9536,0,0,0.9994254112243652,1
3566,4,4,0.6393680572509766,1
20090,4,4,0.937308669090271,1
211,0,0,0.9506075978279114,1
55,8,6,0.7150030136108398,0
1477,2,5,0.2575739622116089,0
25898,0,6,0.8574433922767639,0
25713,0,0,0.7180364727973938,1
18055,3,3,0.9973575472831726,1
17461,3,3,0.9476966261863708,1
14237,7,7,0.708590567111969,1
13858,1,1,0.9984118938446045,1
12386,5,5,0.790374755859375,1
7223,9,9,0.9897233247756958,1
3153,5,5,0.716693639755249,1
23265,8,8,0.7202445864677429,1
9465,0,0,0.6310444474220276,1
7419,0,0,0.9985198378562927,1
4722,6,6,0.7890957593917847,1
23448,6,0,0.9307020902633667,0
8222,2,2,0.9699892997741699,1
20898,8,8,0.9855062961578369,1
23313,2,2,0.9993614554405212,1
13426,2,2,0.9920319318771362,1
25136,4,4,0.9999115467071533,1
9268,4,4,0.9986750483512878,1
3892,1,1,0.9995347261428833,1
4115,3,0,0.6392914652824402,0
5166,7,7,0.9960770010948181,1
14984,3,9,0.46669307351112366,0
10520,1,1,0.8986101150512695,1
4379,2,2,0.9999535083770752,1
8937,1,1,0.9876906871795654,1
17550,9,9,0.9992139339447021,1
19085,9,9,0.9817392230033875,1
17902,6,6,0.7662445902824402,1
14780,8,3,0.652426540851593,0
8401,0,0,0.9961135387420654,1
11230,2,2,0.9814638495445251,1
1772,3,3,0.9922412633895874,1
13326,4,4,0.9996292591094971,1
15230,5,2,0.8916899561882019,0
20557,0,0,0.9920702576637268,1
9555,1,1,0.9995929598808289,1
3667,6,6,0.9667391180992126,1
5316,5,5,0.8641563653945923,1
3606,5,5,0.3684079647064209,1
25776,6,6,0.9776597619056702,1
22231,1,1,0.999788224697113,1
10855,7,7,0.9994171857833862,1
130,6,6,0.9989049434661865,1
434,8,8,0.4397127628326416,1
5308,5,9,0.2583030164241791,0
17682,4,4,0.6913636326789856,1
16682,8,8,0.9511816501617432,1
12660,5,5,0.9641260504722595,1
21362,5,5,0.9954777359962463,1
15483,4,4,0.8618879318237305,1
5289,5,5,0.43748739361763,1
19757,1,1,0.9986284971237183,1
6799,2,2,0.996181845664978,1
18871,2,2,0.9993607401847839,1
4740,3,3,0.9440056681632996,1
14926,5,5,0.9303879737854004,1
3549,4,4,0.6780743598937988,1
13336,9,9,0.49930283427238464,1
8302,3,2,0.46145883202552795,0
19884,8,8,0.7180612683296204,1
6927,1,1,0.9775159358978271,1
15277,6,6,0.9881646633148193,1
20278,3,3,0.9606167674064636,1
654,8,8,0.9603007435798645,1
19020,0,0,0.9788917303085327,1
25403,3,3,0.8467642664909363,1
1745,8,8,0.914613664150238,1
10726,4,4,0.9654534459114075,1
23431,4,4,0.9997885823249817,1
231,5,5,0.9950827360153198,1
20678,7,7,0.984377384185791,1
15851,1,1,0.9992480874061584,1
24015,0,0,0.9999580383300781,1
1082,6,6,0.501171886920929,1
5573,8,8,0.3800402581691742,1
11289,1,1,0.9997770190238953,1
