family,level,method,accuracy,recovery,ece,conf_err_joint,conf_err_cond,n_confident,signal_n,signal_accuracy,signal_conf_err_joint,signal_conf_err_cond,signal_n_confident,bu_rate,non_abstained_acc,imf_mean,imf_sd,imf_q25,imf_median,imf_q75
CF1,L1,zero_fill,0.607,0.0,0.029616063386201867,0.004,0.025806451612903226,155,0,,,,0,,,,,,,
CF1,L1,bilinear,0.867,0.9923664122137404,0.02485332372784614,0.012,0.02003338898163606,599,0,,,,0,,,,,,,
CF1,L1,telea,0.865,0.9847328244274809,0.02728238734602926,0.011,0.01864406779661017,590,0,,,,0,,,,,,,
CF1,L1,ns,0.867,0.9923664122137404,0.02873530745506284,0.012,0.020066889632107024,598,0,,,,0,,,,,,,
CF1,L1,dictlearn,0.847,0.916030534351145,0.043896040260791754,0.007,0.013888888888888888,504,0,,,,0,,,,,,,
CF1,L1,csfr,0.869,1.0,0.022754017710685723,0.012,0.02003338898163606,599,0,,,,0,0.0,0.869,1.9607843569247052e-05,0.0006197443581186235,0.0,0.0,0.0
CF1,L1,lama,0.871,1.0076335877862594,0.02513958811759948,0.012,0.020100502512562814,597,0,,,,0,,,,,,,
CF1,L2,zero_fill,0.358,0.0,0.046183241605758665,0.0,0.0,14,0,,,,0,,,,,,,
CF1,L2,bilinear,0.868,0.9980430528375733,0.02428102722764014,0.01,0.01694915254237288,590,0,,,,0,,,,,,,
CF1,L2,telea,0.866,0.9941291585127201,0.03311000327765941,0.009,0.01576182136602452,571,0,,,,0,,,,,,,
CF1,L2,ns,0.867,0.9960861056751468,0.027564068228006364,0.01,0.01697792869269949,589,0,,,,0,,,,,,,
CF1,L2,dictlearn,0.814,0.8923679060665362,0.09349986615777017,0.006,0.0169971671388102,353,0,,,,0,,,,,,,
CF1,L2,csfr,0.867,0.9960861056751468,0.02869686684012414,0.012,0.020168067226890758,595,0,,,,0,0.0,0.867,0.001006493577733636,0.0026850078720599413,0.0,0.0,0.0
CF1,L2,lama,0.866,0.9941291585127201,0.034129925191402455,0.009,0.015228426395939087,591,0,,,,0,,,,,,,
CF1,L3,zero_fill,0.227,0.0,0.053768275648355505,0.0,0.0,1,982,0.22912423625254583,0.0,0.0,1,,,,,,,
CF1,L3,bilinear,0.863,0.9906542056074766,0.03557298997044561,0.009,0.015437392795883362,583,982,0.860488798370672,0.009164969450101833,0.01576182136602452,571,,,,,,,
CF1,L3,telea,0.852,0.9735202492211837,0.04745995774865153,0.007,0.013565891472868217,516,982,0.8492871690427699,0.007128309572301426,0.013861386138613862,505,,,,,,,
CF1,L3,ns,0.861,0.9875389408099688,0.028361972749233223,0.009,0.01559792027729636,577,982,0.8584521384928717,0.009164969450101833,0.01592920353982301,565,,,,,,,
CF1,L3,dictlearn,0.703,0.7414330218068536,0.10070050588250162,0.002,0.012578616352201259,159,982,0.6995926680244399,0.002036659877800407,0.012903225806451613,155,,,,,,,
CF1,L3,csfr,0.865,0.9937694704049844,0.027403375670313812,0.01,0.016891891891891893,592,982,0.8625254582484725,0.010183299389002037,0.017241379310344827,580,0.0,0.865,0.010416938923299313,0.006013981997966766,0.0065146577544510365,0.009771986864507198,0.013029315508902073
CF1,L3,lama,0.862,0.9890965732087227,0.0409703293144703,0.008,0.014059753954305799,569,982,0.860488798370672,0.008146639511201629,0.01436265709156194,557,,,,,,,
CF1,L4,zero_fill,0.151,0.0,0.07242922063171862,0.0,0.0,0,1000,0.151,0.0,0.0,0,,,,,,,
CF1,L4,bilinear,0.854,0.979108635097493,0.03044490097463132,0.009,0.015873015873015872,567,1000,0.854,0.009,0.015873015873015872,567,,,,,,,
CF1,L4,telea,0.843,0.9637883008356546,0.06542366701364519,0.005,0.011627906976744186,430,1000,0.843,0.005,0.011627906976744186,430,,,,,,,
CF1,L4,ns,0.854,0.979108635097493,0.038642038643360105,0.008,0.014925373134328358,536,1000,0.854,0.008,0.014925373134328358,536,,,,,,,
CF1,L4,dictlearn,0.535,0.5348189415041783,0.07251995310187341,0.001,0.027777777777777776,36,1000,0.535,0.001,0.027777777777777776,36,,,,,,,
CF1,L4,csfr,0.861,0.9888579387186629,0.03943090671300886,0.009,0.015570934256055362,578,1000,0.861,0.009,0.015570934256055362,578,0.0,0.861,0.07015624642372131,0.011783933266997337,0.06201171875,0.0703125,0.078125
CF1,L4,lama,0.82,0.9317548746518105,0.03659927067160609,0.012,0.023952095808383235,501,1000,0.82,0.012,0.023952095808383235,501,,,,,,,
CF1,L5,zero_fill,0.115,0.0,0.07580008137226106,0.0,0.0,0,1000,0.115,0.0,0.0,0,,,,,,,
CF1,L5,bilinear,0.827,0.9442970822281167,0.032500370800495164,0.01,0.019569471624266144,511,1000,0.827,0.01,0.019569471624266144,511,,,,,,,
CF1,L5,telea,0.786,0.8899204244031831,0.08769375269114972,0.007,0.021604938271604937,324,1000,0.786,0.007,0.021604938271604937,324,,,,,,,
CF1,L5,ns,0.813,0.9257294429708223,0.048437222242355346,0.01,0.02336448598130841,428,1000,0.813,0.01,0.02336448598130841,428,,,,,,,
CF1,L5,dictlearn,0.342,0.30106100795755975,0.037870254054665556,0.0,0.0,4,1000,0.342,0.0,0.0,4,,,,,,,
CF1,L5,csfr,0.828,0.9456233421750663,0.0371752862930298,0.007,0.014084507042253521,497,1000,0.828,0.007,0.014084507042253521,497,0.0,0.828,0.2531157433986664,0.01568784937262535,0.24267782270908356,0.2524407207965851,0.26359832286834717
CF1,L5,lama,0.568,0.6007957559681697,0.04811626230180264,0.006,0.043795620437956206,137,1000,0.568,0.006,0.043795620437956206,137,,,,,,,
CF2,L1,zero_fill,0.531,0.0,0.17934949423372742,0.069,0.2262295081967213,305,352,0.35511363636363635,0.07670454545454546,0.4090909090909091,66,,,,,,,
CF2,L1,bilinear,0.789,0.7633136094674557,0.02830222569406032,0.018,0.03829787234042553,470,352,0.6903409090909091,0.022727272727272728,0.06837606837606838,117,,,,,,,
CF2,L1,telea,0.784,0.7485207100591716,0.03169218544661996,0.017,0.03640256959314775,467,352,0.6732954545454546,0.02556818181818182,0.07894736842105263,114,,,,,,,
CF2,L1,ns,0.791,0.7692307692307694,0.027115784063935302,0.017,0.03556485355648536,478,352,0.6875,0.02556818181818182,0.07627118644067797,118,,,,,,,
CF2,L1,dictlearn,0.745,0.6331360946745562,0.04940902999043466,0.027,0.06235565819861432,433,352,0.6022727272727273,0.04261363636363636,0.1485148514851485,101,,,,,,,
CF2,L1,csfr,0.797,0.7869822485207102,0.034013962924480445,0.022,0.046218487394957986,476,352,0.6988636363636364,0.03125,0.09401709401709402,117,0.88,0.8666666666666667,0.6115819215774536,0.09126222133636475,0.5555555820465088,0.6190476417541504,0.6818181872367859
CF2,L1,lama,0.827,0.8757396449704141,0.0234691164046526,0.015,0.027829313543599257,539,352,0.78125,0.017045454545454544,0.0375,160,,,,,,,
CF2,L2,zero_fill,0.333,0.0,0.3157452885359526,0.09,0.46875,192,760,0.29605263157894735,0.0881578947368421,0.5491803278688525,122,,,,,,,
CF2,L2,bilinear,0.691,0.6679104477611939,0.05275648938119412,0.025,0.0684931506849315,365,760,0.656578947368421,0.030263157894736843,0.0931174089068826,247,,,,,,,
CF2,L2,telea,0.705,0.6940298507462686,0.034194979593157745,0.013,0.03857566765578635,337,760,0.6657894736842105,0.014473684210526316,0.04782608695652174,230,,,,,,,
CF2,L2,ns,0.7,0.6847014925373133,0.04959603619575499,0.014,0.0392156862745098,357,760,0.6631578947368421,0.014473684210526316,0.044897959183673466,245,,,,,,,
CF2,L2,dictlearn,0.573,0.4477611940298506,0.1102450095117092,0.039,0.14233576642335766,274,760,0.5118421052631579,0.04473684210526316,0.192090395480226,177,,,,,,,
CF2,L2,csfr,0.7,0.6847014925373133,0.045138315692543986,0.012,0.03582089552238806,335,760,0.6539473684210526,0.013157894736842105,0.04524886877828054,221,0.992,0.875,0.661727249622345,0.06650972366333008,0.6149566173553467,0.6637805700302124,0.7142857313156128
CF2,L2,lama,0.775,0.8246268656716418,0.025394516691565512,0.018,0.037815126050420166,476,760,0.75,0.019736842105263157,0.0436046511627907,344,,,,,,,
CF2,L3,zero_fill,0.199,0.0,0.3930752924829722,0.071,0.6635514018691588,107,991,0.1987891019172553,0.06962663975782038,0.6699029126213593,103,,,,,,,
CF2,L3,bilinear,0.554,0.5298507462686568,0.10846063044667242,0.029,0.13302752293577982,218,991,0.5539858728557013,0.029263370332996974,0.1336405529953917,217,,,,,,,
CF2,L3,telea,0.525,0.48656716417910456,0.11040946778655053,0.024,0.13953488372093023,172,991,0.5237134207870837,0.024217961654894045,0.14201183431952663,169,,,,,,,
CF2,L3,ns,0.56,0.5388059701492538,0.09171661041677,0.029,0.1457286432160804,199,991,0.5590312815338042,0.029263370332996974,0.14795918367346939,196,,,,,,,
CF2,L3,dictlearn,0.351,0.22686567164179103,0.2312767780572176,0.036,0.3302752293577982,109,991,0.34712411705348134,0.03632694248234107,0.33962264150943394,106,,,,,,,
CF2,L3,csfr,0.541,0.5104477611940299,0.10057157149910927,0.017,0.08947368421052632,190,991,0.5398587285570131,0.017154389505549948,0.0913978494623656,186,1.0,,0.7097373008728027,0.05001669004559517,0.6776623725891113,0.7129483819007874,0.7466812133789062
CF2,L3,lama,0.672,0.7059701492537315,0.06454034999012946,0.033,0.08967391304347826,368,991,0.6700302724520686,0.033299697275479316,0.09065934065934066,364,,,,,,,
CF2,L4,zero_fill,0.107,0.0,0.4521570132076741,0.045,0.75,60,1000,0.107,0.045,0.75,60,,,,,,,
CF2,L4,bilinear,0.337,0.3018372703412074,0.2249214886724949,0.042,0.39622641509433965,106,1000,0.337,0.042,0.39622641509433965,106,,,,,,,
CF2,L4,telea,0.309,0.2650918635170604,0.24602505764365196,0.034,0.43037974683544306,79,1000,0.309,0.034,0.43037974683544306,79,,,,,,,
CF2,L4,ns,0.314,0.27165354330708663,0.26161879380047315,0.038,0.3958333333333333,96,1000,0.314,0.038,0.3958333333333333,96,,,,,,,
CF2,L4,dictlearn,0.201,0.12335958005249345,0.3372633311748505,0.032,0.5714285714285714,56,1000,0.201,0.032,0.5714285714285714,56,,,,,,,
CF2,L4,csfr,0.322,0.2821522309711286,0.22750609493255616,0.025,0.29069767441860467,86,1000,0.322,0.025,0.29069767441860467,86,1.0,,0.7784720659255981,0.03560251742601395,0.7542864084243774,0.7808480262756348,0.8049480319023132
CF2,L4,lama,0.443,0.4409448818897638,0.1927433818280697,0.041,0.21693121693121692,189,1000,0.443,0.041,0.21693121693121692,189,,,,,,,
CF2,L5,zero_fill,0.099,0.0,0.41637287995219224,0.034,0.8717948717948718,39,1000,0.099,0.034,0.8717948717948718,39,,,,,,,
CF2,L5,bilinear,0.17,0.09220779220779221,0.3179032049030066,0.023,0.71875,32,1000,0.17,0.023,0.71875,32,,,,,,,
CF2,L5,telea,0.151,0.06753246753246751,0.3755957571268081,0.036,0.7346938775510204,49,1000,0.151,0.036,0.7346938775510204,49,,,,,,,
CF2,L5,ns,0.157,0.07532467532467532,0.375085773319006,0.035,0.5833333333333334,60,1000,0.157,0.035,0.5833333333333334,60,,,,,,,
CF2,L5,dictlearn,0.111,0.01558441558441558,0.39299494245648386,0.019,0.7916666666666666,24,1000,0.111,0.019,0.7916666666666666,24,,,,,,,
CF2,L5,csfr,0.129,0.03896103896103896,0.4122299918085336,0.04,0.8163265306122449,49,1000,0.129,0.04,0.8163265306122449,49,1.0,,0.8485654592514038,0.02167525328695774,0.8360714912414551,0.850614070892334,0.8628864884376526
CF2,L5,lama,0.225,0.16363636363636364,0.2711285558491945,0.03,0.5555555555555556,54,1000,0.225,0.03,0.5555555555555556,54,,,,,,,
CF3,L1,zero_fill,0.836,0.0,0.027570978268980993,0.011,0.02,550,0,,,,0,,,,,,,
CF3,L1,bilinear,0.836,0.0,0.027570978268980993,0.011,0.02,550,0,,,,0,,,,,,,
CF3,L1,telea,0.863,0.8181818181818182,0.028064444601535787,0.013,0.021739130434782608,598,0,,,,0,,,,,,,
CF3,L1,ns,0.869,1.0,0.023024768382310826,0.013,0.021702838063439065,599,0,,,,0,,,,,,,
CF3,L1,dictlearn,0.87,1.0303030303030303,0.026464564383029906,0.013,0.021702838063439065,599,0,,,,0,,,,,,,
CF3,L1,csfr,0.866,0.9090909090909091,0.02864662870764735,0.013,0.021666666666666667,600,0,,,,0,0.0,0.866,0.5,0.0,0.5,0.5,0.5
CF3,L1,lama,0.865,0.8787878787878788,0.03513741236925126,0.012,0.020168067226890758,595,0,,,,0,,,,,,,
CF3,L2,zero_fill,0.79,0.0,0.02914528410136702,0.013,0.028199566160520606,461,0,,,,0,,,,,,,
CF3,L2,bilinear,0.79,0.0,0.02914528410136702,0.013,0.028199566160520606,461,0,,,,0,,,,,,,
CF3,L2,telea,0.861,0.8987341772151898,0.03328775930404665,0.014,0.024096385542168676,581,0,,,,0,,,,,,,
CF3,L2,ns,0.852,0.7848101265822782,0.020876907408237465,0.017,0.02891156462585034,588,0,,,,0,,,,,,,
CF3,L2,dictlearn,0.84,0.6329113924050628,0.023180475503206257,0.012,0.021052631578947368,570,0,,,,0,,,,,,,
CF3,L2,csfr,0.854,0.8101265822784808,0.04156949242949485,0.013,0.02276707530647986,571,0,,,,0,1.0,,0.8000001311302185,1.1920928955078125e-07,0.800000011920929,0.800000011920929,0.800000011920929
CF3,L2,lama,0.859,0.8734177215189871,0.01901432707905772,0.014,0.023608768971332208,593,0,,,,0,,,,,,,
CF3,L3,zero_fill,0.674,0.0,0.039198520153760914,0.005,0.02074688796680498,241,0,,,,0,,,,,,,
CF3,L3,bilinear,0.674,0.0,0.039198520153760914,0.005,0.02074688796680498,241,0,,,,0,,,,,,,
CF3,L3,telea,0.752,0.3999999999999999,0.039434365272521976,0.019,0.04357798165137615,436,0,,,,0,,,,,,,
CF3,L3,ns,0.712,0.1948717948717945,0.0794118925780058,0.026,0.06516290726817042,399,0,,,,0,,,,,,,
CF3,L3,dictlearn,0.763,0.45641025641025634,0.03929645210504532,0.015,0.03588516746411483,418,0,,,,0,,,,,,,
CF3,L3,csfr,0.765,0.4666666666666666,0.0310356731712818,0.008,0.021333333333333333,375,0,,,,0,1.0,,0.8999998569488525,1.1920928955078125e-07,0.8999999761581421,0.8999999761581421,0.8999999761581421
CF3,L3,lama,0.756,0.4205128205128204,0.046132851213216766,0.031,0.0649895178197065,477,0,,,,0,,,,,,,
CF3,L4,zero_fill,0.445,0.0,0.09505511444807052,0.013,0.19117647058823528,68,1000,0.445,0.013,0.19117647058823528,68,,,,,,,
CF3,L4,bilinear,0.445,0.0,0.09505511444807052,0.013,0.19117647058823528,68,1000,0.445,0.013,0.19117647058823528,68,,,,,,,
CF3,L4,telea,0.556,0.2617924528301888,0.1559386976212263,0.046,0.1464968152866242,314,1000,0.556,0.046,0.1464968152866242,314,,,,,,,
CF3,L4,ns,0.555,0.25943396226415105,0.1345192364156246,0.035,0.13671875,256,1000,0.555,0.035,0.13671875,256,,,,,,,
CF3,L4,dictlearn,0.519,0.17452830188679247,0.07843454940617085,0.012,0.10256410256410256,117,1000,0.519,0.012,0.10256410256410256,117,,,,,,,
CF3,L4,csfr,0.51,0.15330188679245285,0.06522207832336425,0.004,0.05263157894736842,76,1000,0.51,0.004,0.05263157894736842,76,1.0,,0.9375,0.0,0.9375,0.9375,0.9375
CF3,L4,lama,0.532,0.20518867924528308,0.1658193106800318,0.06,0.21897810218978103,274,1000,0.532,0.06,0.21897810218978103,274,,,,,,,
CF3,L5,zero_fill,0.159,0.0,0.3502589680850505,0.031,0.6078431372549019,51,1000,0.159,0.031,0.6078431372549019,51,,,,,,,
CF3,L5,bilinear,0.159,0.0,0.3502589680850505,0.031,0.6078431372549019,51,1000,0.159,0.031,0.6078431372549019,51,,,,,,,
CF3,L5,telea,0.313,0.21690140845070424,0.3016397734135389,0.062,0.4246575342465753,146,1000,0.313,0.062,0.4246575342465753,146,,,,,,,
CF3,L5,ns,0.283,0.17464788732394362,0.31141777493059636,0.055,0.4435483870967742,124,1000,0.283,0.055,0.4435483870967742,124,,,,,,,
CF3,L5,dictlearn,0.212,0.07464788732394366,0.2929945356100797,0.025,0.423728813559322,59,1000,0.212,0.025,0.423728813559322,59,,,,,,,
CF3,L5,csfr,0.222,0.08873239436619719,0.21156454408168793,0.004,0.25,16,1000,0.222,0.004,0.25,16,1.0,,0.954545259475708,1.7881393432617188e-07,0.9545454382896423,0.9545454382896423,0.9545454382896423
CF3,L5,lama,0.318,0.223943661971831,0.2703421908766031,0.066,0.4888888888888889,135,1000,0.318,0.066,0.4888888888888889,135,,,,,,,
CF4,L1,zero_fill,0.793,0.0,0.04257806545495985,0.023,0.04339622641509434,530,0,,,,0,,,,,,,
CF4,L1,bilinear,0.793,0.0,0.04257806545495985,0.023,0.04339622641509434,530,0,,,,0,,,,,,,
CF4,L1,telea,0.868,0.9868421052631579,0.027148651778697987,0.013,0.021630615640599003,601,0,,,,0,,,,,,,
CF4,L1,ns,0.868,0.9868421052631579,0.030150504291057593,0.013,0.021630615640599003,601,0,,,,0,,,,,,,
CF4,L1,dictlearn,0.863,0.9210526315789472,0.022410025835037223,0.013,0.021666666666666667,600,0,,,,0,,,,,,,
CF4,L1,csfr,0.868,0.9868421052631579,0.025350004076957724,0.013,0.02159468438538206,602,0,,,,0,0.0,0.868,0.5,0.0,0.5,0.5,0.5
CF4,L1,lama,0.868,0.9868421052631579,0.02713558910787104,0.013,0.021487603305785124,605,0,,,,0,,,,,,,
CF4,L2,zero_fill,0.784,0.0,0.047388231560587885,0.023,0.04842105263157895,475,0,,,,0,,,,,,,
CF4,L2,bilinear,0.784,0.0,0.047388231560587885,0.023,0.04842105263157895,475,0,,,,0,,,,,,,
CF4,L2,telea,0.849,0.7647058823529409,0.02573228678107261,0.012,0.020905923344947737,574,0,,,,0,,,,,,,
CF4,L2,ns,0.851,0.7882352941176468,0.03456409665942194,0.013,0.02249134948096886,578,0,,,,0,,,,,,,
CF4,L2,dictlearn,0.843,0.6941176470588232,0.033362595170736316,0.014,0.024822695035460994,564,0,,,,0,,,,,,,
