family,level,method_a,method_b,mcnemar_statistic_accuracy,mcnemar_p_raw_accuracy,mcnemar_p_holm_accuracy,ci_lo_conferr_diff_signal,ci_hi_conferr_diff_signal,ci_lo_conferr_cond_diff_signal,ci_hi_conferr_cond_diff_signal,n_valid_cond_resamples
CF1,L1,csfr,zero_fill,262.0,3.424115168063041e-54,2.0544691008378248e-53,,,,,0
CF1,L1,csfr,bilinear,2.0,0.5,1.0,,,,,0
CF1,L1,csfr,telea,4.0,0.125,0.5,,,,,0
CF1,L1,csfr,ns,2.0,0.5,1.0,,,,,0
CF1,L1,csfr,dictlearn,22.0,0.0009406740282429382,0.004703370141214691,,,,,0
CF1,L1,csfr,lama,-2.0,0.625,0.625,,,,,0
CF1,L2,csfr,zero_fill,509.0,5.675932513568673e-127,3.405559508141204e-126,,,,,0
CF1,L2,csfr,bilinear,-1.0,1.0,1.0,,,,,0
CF1,L2,csfr,telea,1.0,1.0,1.0,,,,,0
CF1,L2,csfr,ns,0.0,1.0,1.0,,,,,0
CF1,L2,csfr,dictlearn,53.0,2.87737462890791e-07,1.438687314453955e-06,,,,,0
CF1,L2,csfr,lama,1.0,1.0,1.0,,,,,0
CF1,L3,csfr,zero_fill,638.0,2.7915493520848415e-169,1.6749296112509049e-168,0.004073319755600814,0.017311608961303463,0.007116173523890192,0.028716216216216218,6317
CF1,L3,csfr,bilinear,2.0,0.75390625,0.75390625,-0.007153767820773908,0.010183299389002035,-0.01322991746782872,0.01651559901994887,10000
CF1,L3,csfr,telea,13.0,0.0241195447742939,0.0964781790971756,-0.0050916496945010185,0.011201629327902241,-0.01153636763307793,0.018066080639406717,10000
CF1,L3,csfr,ns,4.0,0.2890625,0.8671875,-0.007128309572301426,0.010183299389002035,-0.013510892906519474,0.01639519198488178,10000
CF1,L3,csfr,dictlearn,162.0,8.510564695487218e-35,4.255282347743609e-34,0.002036659877800407,0.015274949083503055,-0.01818664796342044,0.022847100175746926,10000
CF1,L3,csfr,lama,3.0,0.6636238098144531,1.0,-0.006109979633401222,0.010183299389002039,-0.011278229383115894,0.017516090982640262,10000
CF1,L4,csfr,zero_fill,710.0,3.603108718537978e-189,2.1618652311227868e-188,0.004,0.015,,,0
CF1,L4,csfr,bilinear,7.0,0.1670684814453125,0.1670684814453125,-0.008,0.008,-0.014629412340863991,0.013759423130852778,10000
CF1,L4,csfr,telea,18.0,0.011351591436778108,0.034054774310334324,-0.003,0.011,-0.010402636106220088,0.017935107107589582,10000
CF1,L4,csfr,ns,7.0,0.1670684814453125,0.334136962890625,-0.007,0.009,-0.014054512296192994,0.014667318126237132,10000
CF1,L4,csfr,dictlearn,326.0,2.372758369908522e-75,1.1863791849542611e-74,0.002,0.014,-0.08006484425857467,0.023423423423423424,10000
CF1,L4,csfr,lama,41.0,2.1823279653758543e-06,8.729311861503417e-06,-0.012,0.005999999999999999,-0.02531163742008202,0.007877347426176243,10000
CF1,L5,csfr,zero_fill,713.0,1.993820106448234e-195,1.1962920638689405e-194,0.002,0.013,,,0
CF1,L5,csfr,bilinear,1.0,1.0,1.0,-0.011,0.004999999999999999,-0.021207340992147123,0.009885370173022118,10000
CF1,L5,csfr,telea,42.0,4.968015141912969e-06,1.4904045425738907e-05,-0.007,0.007,-0.02750788196231868,0.010508508215704324,10000
CF1,L5,csfr,ns,15.0,0.08643723427347082,0.17287446854694163,-0.011,0.005,-0.027479860642074798,0.007919090755596596,10000
CF1,L5,csfr,dictlearn,486.0,3.1445066526755352e-118,1.5722533263377677e-117,0.002,0.013,0.004158004158004158,0.025485207781742816,9805
CF1,L5,csfr,lama,260.0,1.4283316074141537e-51,5.713326429656615e-51,-0.006,0.008,-0.06844988831347795,0.003485039531079575,10000
CF2,L1,csfr,zero_fill,266.0,1.1273076746964378e-55,6.763846048178627e-55,-0.07954545454545454,-0.011363636363636367,-0.4449376049324268,-0.18711620730836626,10000
CF2,L1,csfr,bilinear,8.0,0.40296307504607976,0.8059261500921595,-0.014204545454545456,0.03125,-0.04380165289256198,0.09639153602503366,10000
CF2,L1,csfr,telea,13.0,0.18745986796619285,0.5623796038985786,-0.019886363636363633,0.031249999999999997,-0.056794903310390034,0.087729770209177,10000
CF2,L1,csfr,ns,6.0,0.566573442398685,0.566573442398685,-0.017045454545454548,0.031249999999999997,-0.0526741204103154,0.08943176317259356,10000
CF2,L1,csfr,dictlearn,52.0,8.233374857241955e-06,4.116687428620977e-05,-0.03977272727272727,0.017045454545454544,-0.1438419249533649,0.03263959344539772,10000
CF2,L1,csfr,lama,-30.0,0.0010527348573533446,0.0042109394294133785,-0.008522727272727272,0.036931818181818184,-0.00240999352094464,0.11929523447527281,10000
CF2,L2,csfr,zero_fill,367.0,3.3054361971870564e-76,1.983261718312234e-75,-0.09605263157894738,-0.053947368421052626,-0.5952975440359896,-0.41039620675708194,10000
CF2,L2,csfr,bilinear,9.0,0.5123564769095197,1.0,-0.03289473684210526,-0.0026315789473684223,-0.09451674475099775,-0.0037432143700810287,10000
CF2,L2,csfr,telea,-5.0,0.7326840935910408,1.0,-0.013157894736842105,0.010526315789473684,-0.04128523904018945,0.03542026423142912,10000
CF2,L2,csfr,ns,0.0,1.0,1.0,-0.013157894736842106,0.010526315789473684,-0.03796808562403149,0.03778826615774524,10000
CF2,L2,csfr,dictlearn,127.0,7.790773102995782e-18,3.895386551497891e-17,-0.04868421052631579,-0.015789473684210527,-0.2122503349609504,-0.08541832726434029,10000
CF2,L2,csfr,lama,-75.0,2.2244293327628218e-09,8.897717331051287e-09,-0.01842105263157895,0.0065789473684210505,-0.03200734471859222,0.03666490261685521,10000
CF2,L3,csfr,zero_fill,342.0,9.937312086388517e-66,5.96238725183311e-65,-0.07063572149344097,-0.035317860746720484,-0.6767382358119169,-0.47730248699728955,10000
CF2,L3,csfr,bilinear,-13.0,0.42582327218693755,0.42582327218693755,-0.025227043390514632,0.0010090817356205872,-0.10190922174696528,0.019368652932726698,10000
CF2,L3,csfr,telea,16.0,0.3369297790687433,0.6738595581374865,-0.019172552976791123,0.005045408678102929,-0.11744078247124201,0.015832837249459678,10000
CF2,L3,csfr,ns,-19.0,0.2402563344184412,0.7207690032553236,-0.025227043390514632,0.0010090817356205838,-0.12162249410105533,0.00731994709927963,10000
CF2,L3,csfr,dictlearn,190.0,6.7609860563472644e-34,3.3804930281736325e-33,-0.033299697275479316,-0.005045408678102926,-0.3471319071394896,-0.1484250133688336,10000
CF2,L3,csfr,lama,-131.0,1.2852237490631292e-15,5.140894996252517e-15,-0.030272452068617554,-0.002018163471241171,-0.048952796784709623,0.05290480036263143,10000
CF2,L4,csfr,zero_fill,215.0,1.0086545467341504e-35,6.051927280404903e-35,-0.036000000000000004,-0.004,-0.6026348062577935,-0.3118616804088407,10000
CF2,L4,csfr,bilinear,-15.0,0.3968589885475753,1.0,-0.033,-0.001999999999999995,-0.2403160391796755,0.028112449799196804,10000
CF2,L4,csfr,telea,13.0,0.49488683006341116,0.9897736601268223,-0.024,0.005999999999999998,-0.2872834446925756,0.008661628864093584,10000
CF2,L4,csfr,ns,8.0,0.6881369169523945,0.6881369169523945,-0.028000000000000004,0.0020000000000000018,-0.2409765485141425,0.034003256609362355,10000
CF2,L4,csfr,dictlearn,121.0,1.9585913081662178e-19,9.79295654083109e-19,-0.022,0.007024999999999639,-0.44159722222222225,-0.11682688266772094,10000
CF2,L4,csfr,lama,-121.0,6.4771569771994515e-12,2.5908627908797806e-11,-0.032,0.0,-0.037875351863315296,0.18956205151505653,10000
CF2,L5,csfr,zero_fill,30.0,0.02075373916775381,0.08301495667101524,-0.010999999999999996,0.022000000000000002,-0.21056951768842014,0.09634364111498252,10000
CF2,L5,csfr,bilinear,-41.0,0.0017601917264816224,0.008800958632408111,0.0019999999999999983,0.032,-0.10033555665349136,0.2910067544748395,10000
CF2,L5,csfr,telea,-22.0,0.1451879942723577,0.1451879942723577,-0.012999999999999998,0.020999999999999998,-0.08312553282182442,0.2510710765890867,10000
CF2,L5,csfr,ns,-28.0,0.0646865577037599,0.1940596731112797,-0.011000000000000003,0.022,0.06596861897274632,0.40246684635718294,10000
CF2,L5,csfr,dictlearn,18.0,0.09504367479940842,0.19008734959881685,0.006000000000000002,0.036000000000000004,-0.17000847457627122,0.2350021929824561,10000
CF2,L5,csfr,lama,-96.0,8.544149453207053e-10,5.126489671924232e-09,-0.006000000000000002,0.026,0.08481791413373864,0.43666897233201574,10000
